,Time:512Hz,Epoch,Electrode,Attention,Meditation,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,Mid Gamma,Blink Strength,Event Id,Event Date,Event Duration,Band 0.00 - 70.00
47,0.091796875,1,1228.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,2654.1244419800346
48,0.09375,1,1018.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,26733.604834020993
49,0.095703125,1,946.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,17983.142613970216
50,0.09765625,1,1026.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,13039.943775698095
51,0.099609375,1,1158.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,20929.973205374343
52,0.1015625,1,1236.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,16004.260910034367
53,0.103515625,1,1268.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,14444.71634651471
54,0.10546875,1,1320.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,12894.86564593629
55,0.107421875,1,1349.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,22469.52819845882
56,0.109375,1,1248.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,9080.568849200485
57,0.111328125,1,977.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,18977.18092105303
58,0.11328125,1,650.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,18064.498076072494
59,0.115234375,1,448.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,14544.157609974181
60,0.1171875,1,460.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,17480.95731215468
61,0.119140625,1,621.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,16766.09843998832
62,0.12109375,1,818.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,8037.223755502847
63,0.123046875,1,1003.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,14112.836611785797
64,0.125,2,1133.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,12133.29274555839
65,0.126953125,2,1154.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,16128.666507886333
66,0.12890625,2,1036.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,9756.911172352338
67,0.130859375,2,745.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,15839.002909634568
68,0.1328125,2,364.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,13499.79173445017
69,0.134765625,2,102.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,13448.172376234244
70,0.13671875,2,75.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,12871.182287115826
71,0.138671875,2,273.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,9979.050530440447
72,0.140625,2,553.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,15146.278842166097
73,0.142578125,2,795.0,0.0,0.0,1093020.0,54438.0,12924.0,43325.0,5257.0,12345.0,5860.0,98103.0,0.0,,,,6920.628273115595
